subject_id	predicate_id	object_id	mapping_justification	mapping_date	comment
https://w3id.org/cco-domains/ont00000047	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000047	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000048	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000048	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000049	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000049	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000050	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000050	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000051	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000051	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000052	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000052	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000053	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000053	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000054	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000054	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000055	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000055	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000056	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000056	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000057	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000057	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000058	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000058	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000059	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000059	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000060	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000060	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000061	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000061	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000062	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000062	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000063	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000063	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000064	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000064	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000065	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000065	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000066	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000066	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000067	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000067	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000068	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000068	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000069	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000069	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000070	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000070	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000071	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000071	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000072	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000072	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
https://w3id.org/cco-domains/ont00000073	owl:equivalentClass	https://www.commoncoreontologies.org/ont00000073	semapv:ManualMappingCuration	2026-05-25	namespace fork, identical concept (CCO v2.0-2024-11-06)
